symptoms	gold sentences	generated sentences
fever	Fever? You have the flu?	How long has it been? Have you had a fever?
fever,bloating,reflux,hiccup,vomit	Do you have other symptoms such as abdominal distension, vomiting, hiccups, pantothenic acid, and fever?	How many times a day do you have to take a shit? Is there a fever, a burp, or something?
gastrointestinal disorders	Considering this is some intestinal dysfunction, which has little to do with gastritis!	What's wrong with it? It's supposed to be an intestinal disorder.
fever,bloating,vomit,hiccup	Do you have other symptoms such as bloating, vomiting, hiccups, fever, etc.?	What are the symptoms of hiccup fever? Is there any other symptoms?
blood in stool	Do you usually have blood in your stool? What color is the discharged blood? Is it mixed with stool?	How many times a day do you have to take a shit?
perianal pain	Is there pain in the anus? Bright red blood?	How long has it been? Is it a pain in the stomach?
hemorrhoid	It may be internal hemorrhoids. You go to the hospital and have the doctor examine you.	What are the symptoms of hemorrhoids?
diarrhea,stomach ache	Sorry, just saw it, how is it now? After diarrhea, the symptoms of abdominal pain may be relieved, so you can drink more hot water. You can buy medicines at pharmacies during the day. You can take belladonna, gentamicin and procaine granules orally for treatment, and eat more light and digestible foods, such as millet oatmeal and egg custard. Avoid spicy and greasy food, quit smoking and alcohol.	How long has it been? Is there a stomach ache?
black stool,blood in stool	Are there black stools and blood in the stool?	How many times a day do you have to take a shit?
diarrhea	You have diarrhea because of bad stomach eating?	How many times a day do you have a diarrhea?
gastrointestinal discomfort	You may have poor gastrointestinal motility.	How long has this been going on? Does it hurt in the stomach?
bloating,exhaust	Do you usually have bloating? Is there much exhaust?	How long has this been going on? Is it bloated, or is it exhausting?
reflux	First deal with reflux gastritis.	What's the cause of the gastrointestinal inflammation?
hemorrhoid,blood in stool	Bleeding after defecation is more common in hemorrhoids. It is recommended to see anorectal specialist.	What are the symptoms of hemorrhoids? Is the shit normal?
bloating,stomach ache	Um, abdominal pain and bloating?	How long has this been going on? Is the stomach ache?
sore throat,cough	Do you have a cough or sore throat?	How many times a day do you have to take a shit? Have you coughed?
heartburn,reflux	What medicine have you used? Is there any acid reflux heartburn?	How long has it been? Have you had a heart attack?
hiccup,reflux	Stool several times a day. There is no acid reflux hiccups.	What's the cause of the hiccup?
diarrhea,reflux,vomit,nausea,stomach ache	Do you have acid reflux, nausea, vomiting, epigastric pain, and diarrhea?	Are there any other symptoms of stomach ache, diarrhea, etc.?
stomach ache	Duodenitis may cause pain in the upper abdomen.	How long has this been going on? Have you had a stomach ache?
gastrointestinal disorders,exhaust,stomach ache	From your description, there are occasional abdominal pain, excessive farts, and irregular diet. My preliminary judgment is gastrointestinal dysfunction. You can take Taxi and Jin Huangdi by mouth to see the effect.	What's wrong with the stomach? Is there a stomach ache?
indigestion	That's not enough. You must pay attention to your diet. Eat a light diet, eat less raw, cold and spicy food, and eat less food that is not easy to digest, because it can stimulate the gastric mucosa and cause symptoms. You can eat some fruits and vegetables appropriately.	How long has this been going on? Is it indigestion?
fatigue	Oh, is there any fatigue or discomfort in normal times?	How long has it been? Have you had a bad diet?
nausea,vomit	Is the nausea and vomiting strong? Can the medicine be taken orally?	How many times a day do you have to take a shit? Have you had a diarrhea?
nausea,reflux,bloating,hiccup	Hello, do you have acid reflux, nausea, belching, or bloating?	How many times a day do you have to take a shit? Is there any nausea, vomiting, hiccups?
perianal pain,hemorrhoid,blood in stool	Anal fissure is mainly caused by severe pain in the anus during and after the stool is relieved. Hemorrhoids are mainly caused by bright red blood attached to the surface of the stool.	Are there any other symptoms, such as hemorrhoids, vomiting, etc.?
heartburn	Ah, feel heartburn? How long it has been?	How long has it been? Have you had a heart attack?
chest pain,cough	Hello, how long have you had chest pain? Do you have a cough?	What's wrong with your chest? Have you coughed?
palpitations,fever,stomach ache	How is the bowel movement? Do you have abdominal pain? Is there any fever? Is there any panic?	What's wrong with your stomach? Is there a stomach ache?
hiccup,reflux,bloating,weight loss	Hiccups, acid, water, and abdominal distension? How much weight has dropped. How about your appetite.	What are the symptoms of hiccup, bloating, weight loss, etc.?
cramps	Reduce gastrointestinal motility! Used in cases of spasm.	How many times a day do you have to take a shit?
bowel	Sect and Peeking can be taken during lactation to stop diarrhea and repair the gastrointestinal mucosa without affecting breastfeeding.	What's wrong with the intestine?
helicobacter infection	Helicobacter pylori infection?	What's wrong with the phantom snails?
